month,country,net_flow_musd,table
2023-03,Singapore,154,slt2_us_lt_total_net
2023-03,South Africa,485,slt1_for_lt_total_net
2023-03,South Africa,-555,slt2_us_lt_total_net
2023-03,Spain,5554,slt1_for_lt_total_net
2023-03,Spain,-1185,slt2_us_lt_total_net
2023-03,Sweden,1728,slt1_for_lt_total_net
2023-03,Sweden,19,slt2_us_lt_total_net
2023-03,Switzerland,-268,slt1_for_lt_total_net
2023-03,Switzerland,-7436,slt2_us_lt_total_net
2023-03,Syria,0,slt1_for_lt_total_net
2023-03,Taiwan,5381,slt1_for_lt_total_net
2023-03,Taiwan,2377,slt2_us_lt_total_net
2023-03,Thailand,9102,slt1_for_lt_total_net
2023-03,Thailand,-375,slt2_us_lt_total_net
2023-03,Total Africa,682,slt1_for_lt_total_net
2023-03,Total Africa,-54,slt2_us_lt_total_net
2023-03,Total Asia,29327,slt1_for_lt_total_net
2023-03,Total Asia,55,slt2_us_lt_total_net
2023-03,Total Caribbean,35267,slt1_for_lt_total_net
2023-03,Total Caribbean,-5678,slt2_us_lt_total_net
2023-03,Total Europe,116321,slt1_for_lt_total_net
2023-03,Total Europe,-25003,slt2_us_lt_total_net
2023-03,Total IROs,393,slt1_for_lt_total_net
2023-03,Total IROs,-4586,slt2_us_lt_total_net
2023-03,Total Latin America,7555,slt1_for_lt_total_net
2023-03,Total Latin America,-648,slt2_us_lt_total_net
2023-03,Total Other,-7086,slt1_for_lt_total_net
2023-03,Total Other,85,slt2_us_lt_total_net
2023-03,Total Regional Orgs.,-932,slt1_for_lt_total_net
2023-03,Total Regional Orgs.,-1989,slt2_us_lt_total_net
2023-03,Trinidad and Tobago,-19,slt1_for_lt_total_net
2023-03,Trinidad and Tobago,-36,slt2_us_lt_total_net
2023-03,Turkey,165,slt1_for_lt_total_net
2023-03,Turkey,168,slt2_us_lt_total_net
2023-03,Ukraine,-1508,slt1_for_lt_total_net
2023-03,Ukraine,-55,slt2_us_lt_total_net
2023-03,United Arab Emirates,965,slt1_for_lt_total_net
2023-03,United Arab Emirates,402,slt2_us_lt_total_net
2023-03,United Kingdom,83240,slt1_for_lt_total_net
2023-03,United Kingdom,3327,slt2_us_lt_total_net
2023-03,Uruguay,1072,slt1_for_lt_total_net
2023-03,Uruguay,44,slt2_us_lt_total_net
2023-03,Venezuela,-6,slt1_for_lt_total_net
2023-03,Venezuela,28,slt2_us_lt_total_net
2023-04,All Countries,101706,slt1_for_lt_total_net
2023-04,All Countries,-3234,slt2_us_lt_total_net
2023-04,Anguilla,696,slt1_for_lt_total_net
2023-04,Argentina,167,slt1_for_lt_total_net
2023-04,Argentina,160,slt2_us_lt_total_net
2023-04,Aruba,3,slt1_for_lt_total_net
2023-04,Aruba,-32,slt2_us_lt_total_net
2023-04,Australia,-2262,slt1_for_lt_total_net
2023-04,Australia,851,slt2_us_lt_total_net
2023-04,Austria,-1020,slt1_for_lt_total_net
2023-04,Austria,-805,slt2_us_lt_total_net
2023-04,Bahamas,978,slt1_for_lt_total_net
2023-04,Bahamas,284,slt2_us_lt_total_net
2023-04,Barbados,-28,slt1_for_lt_total_net
2023-04,Barbados,-110,slt2_us_lt_total_net
2023-04,Belgium,-6755,slt1_for_lt_total_net
2023-04,Belgium,-194,slt2_us_lt_total_net
2023-04,Bermuda,2180,slt1_for_lt_total_net
2023-04,Bermuda,-271,slt2_us_lt_total_net
2023-04,Brazil,4385,slt1_for_lt_total_net
2023-04,Brazil,78,slt2_us_lt_total_net
2023-04,British Virgin Islands,111,slt1_for_lt_total_net
2023-04,British Virgin Islands,-4067,slt2_us_lt_total_net
2023-04,Bulgaria,-18,slt1_for_lt_total_net
2023-04,Bulgaria,37,slt2_us_lt_total_net
2023-04,Canada,1182,slt1_for_lt_total_net
2023-04,Canada,5257,slt2_us_lt_total_net
2023-04,Cayman Islands,5593,slt1_for_lt_total_net
2023-04,Cayman Islands,-3324,slt2_us_lt_total_net
2023-04,Chile,1173,slt1_for_lt_total_net
2023-04,Chile,-664,slt2_us_lt_total_net
2023-04,"China, Mainland",-4673,slt1_for_lt_total_net
2023-04,"China, Mainland",5265,slt2_us_lt_total_net
2023-04,Colombia,-340,slt1_for_lt_total_net
2023-04,Colombia,-958,slt2_us_lt_total_net
2023-04,Costa Rica,864,slt1_for_lt_total_net
2023-04,Costa Rica,259,slt2_us_lt_total_net
2023-04,Cuba,-1,slt1_for_lt_total_net
2023-04,Cuba,-26,slt2_us_lt_total_net
2023-04,Curacao,-43,slt1_for_lt_total_net
2023-04,Curacao,746,slt2_us_lt_total_net
2023-04,Cyprus,5,slt1_for_lt_total_net
2023-04,Cyprus,32,slt2_us_lt_total_net
2023-04,Czech Republic,381,slt1_for_lt_total_net
2023-04,Czech Republic,-22,slt2_us_lt_total_net
2023-04,Denmark,997,slt1_for_lt_total_net
2023-04,Denmark,-160,slt2_us_lt_total_net
2023-04,Ecuador,9,slt1_for_lt_total_net
2023-04,Ecuador,12,slt2_us_lt_total_net
2023-04,Egypt,-708,slt1_for_lt_total_net
2023-04,Egypt,-207,slt2_us_lt_total_net
2023-04,Finland,-615,slt1_for_lt_total_net
2023-04,Finland,-446,slt2_us_lt_total_net
2023-04,France,28975,slt1_for_lt_total_net
2023-04,France,2404,slt2_us_lt_total_net
2023-04,Germany,954,slt1_for_lt_total_net
2023-04,Germany,-2290,slt2_us_lt_total_net
2023-04,Grand Total,103878,slt1_for_lt_total_net
2023-04,Grand Total,-10374,slt2_us_lt_total_net
2023-04,Greece,-411,slt1_for_lt_total_net
2023-04,Greece,304,slt2_us_lt_total_net
2023-04,Guatemala,324,slt1_for_lt_total_net
2023-04,Guatemala,-63,slt2_us_lt_total_net
2023-04,Guernsey,159,slt1_for_lt_total_net
2023-04,Guernsey,-134,slt2_us_lt_total_net
2023-04,Hong Kong,5107,slt1_for_lt_total_net
2023-04,Hong Kong,-576,slt2_us_lt_total_net
2023-04,Hungary,304,slt1_for_lt_total_net
2023-04,Hungary,-118,slt2_us_lt_total_net
2023-04,India,919,slt1_for_lt_total_net
2023-04,India,404,slt2_us_lt_total_net
2023-04,Indonesia,11,slt1_for_lt_total_net
2023-04,Indonesia,-10,slt2_us_lt_total_net
2023-04,International,2017,slt1_for_lt_total_net
2023-04,International,-2185,slt2_us_lt_total_net
2023-04,Ireland,13133,slt1_for_lt_total_net
2023-04,Ireland,-863,slt2_us_lt_total_net
2023-04,Israel,-15042,slt1_for_lt_total_net
2023-04,Israel,-494,slt2_us_lt_total_net
2023-04,Italy,439,slt1_for_lt_total_net
2023-04,Italy,-1099,slt2_us_lt_total_net
2023-04,Jamaica,59,slt1_for_lt_total_net
2023-04,Jamaica,-74,slt2_us_lt_total_net
2023-04,Japan,33605,slt1_for_lt_total_net
2023-04,Japan,5146,slt2_us_lt_total_net
2023-04,Jersey,236,slt1_for_lt_total_net
